epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.042,1.66364,2.71631,1.28053,0.95264,0.15449,0.26812,0.15932,1.33692,3.10486,1.05815,0.000541044,0.000541044,0.000541044
2,341.662,1.37276,1.50648,1.0737,0.77865,0.28901,0.41642,0.27839,1.26539,2.40009,1.0762,0.001075,0.001075,0.001075
3,521.552,1.31116,1.30995,1.07103,0.42518,0.45798,0.45772,0.30553,1.24648,1.7833,1.04732,0.00158694,0.00158694,0.00158694
4,701.908,1.30141,1.17626,1.05996,0.85608,0.64979,0.74408,0.43585,1.28275,1.36721,1.0874,0.00156798,0.00156798,0.00156798
5,883.754,1.29012,1.07845,1.04894,0.65057,0.57213,0.59789,0.40559,1.16498,1.29337,1.03161,0.00153497,0.00153497,0.00153497
6,1064.89,1.21228,0.98968,1.0288,0.69366,0.62226,0.64061,0.40869,1.21008,1.25131,1.07444,0.00150197,0.00150197,0.00150197
7,1248.45,1.23639,1.01155,1.03591,0.79775,0.76288,0.79349,0.50127,1.13539,1.09846,1.04066,0.00146896,0.00146896,0.00146896
8,1428.55,1.17621,0.91385,1.02641,0.78512,0.71549,0.77955,0.48924,1.16357,1.03183,1.01431,0.00143595,0.00143595,0.00143595
9,1612.05,1.19492,0.88686,1.01278,0.8455,0.73883,0.80958,0.52573,1.10816,0.90764,0.99539,0.00140295,0.00140295,0.00140295
10,1793.44,1.17659,0.85475,1.00747,0.81896,0.76974,0.80842,0.51457,1.11881,0.83011,1.00995,0.00136994,0.00136994,0.00136994
11,1976.2,1.17236,0.83832,1.00157,0.81759,0.78344,0.82059,0.52221,1.07406,0.81494,0.99091,0.00133693,0.00133693,0.00133693
12,2158.3,1.13821,0.79036,0.99473,0.87371,0.72468,0.81515,0.5154,1.13148,0.83292,1.01225,0.00130393,0.00130393,0.00130393
13,2326.13,1.14593,0.78421,0.9927,0.76329,0.78297,0.82681,0.52766,1.0587,0.81102,0.99306,0.00127092,0.00127092,0.00127092
14,2491.38,1.13815,0.75569,0.99289,0.88137,0.7426,0.83275,0.53805,1.08307,0.72807,0.99041,0.00123791,0.00123791,0.00123791
15,2678.24,1.14161,0.76439,0.9886,0.8692,0.78598,0.8495,0.56436,1.04314,0.69189,0.9734,0.00120491,0.00120491,0.00120491
16,2862.57,1.11566,0.73503,0.97601,0.90023,0.74,0.84329,0.53229,1.08747,0.71718,0.98877,0.0011719,0.0011719,0.0011719
17,3046.57,1.10778,0.71816,0.97611,0.86584,0.7923,0.84987,0.55288,1.04096,0.74609,0.9753,0.00113889,0.00113889,0.00113889
